"","X","ID_Year","Site.Lat","Site","Year","Drought","PC1","PC2","PC3","PC4","PC5"
"1",1,"S02_2010","32.9_S02","S02",2010,"W",-0.961485717478883,0.280671945731053,0.944111726898464,0.0654635184793324,-0.277618888108828
"2",2,"S02_2011","32.9_S02","S02",2011,"W",-0.566303081195578,-0.197857259791853,0.657640181710482,-0.00317157991281922,-0.182496149543488
"3",3,"S02_2012","32.9_S02","S02",2012,"W",0.0666544161906934,-0.127014777756781,0.779072855914022,0.0100260803451946,-0.402455592084948
"4",4,"S02_2013","32.9_S02","S02",2013,"W",0.674967876067947,0.280687294299236,0.0925534259277123,0.309196285727453,-0.456596078167086
"5",5,"S02_2014","32.9_S02","S02",2014,"W",-0.314462984924757,-0.00427646616601593,0.494027911595859,0.549260704781048,-0.488635486177303
"6",6,"S07_2010","34.3_S07","S07",2010,"W",0.815087418475377,0.80791443610769,-0.0729692031491592,-0.448375990649301,-0.371957183794182
"7",7,"S07_2011","34.3_S07","S07",2011,"W",0.770606273179327,-0.00908969176938101,-0.120097000615214,0.265609590415593,-0.500217472071064
"8",8,"S07_2014","34.3_S07","S07",2014,"W",-0.309010349432515,-0.26590899177115,0.620506179841693,-0.202193522109797,-0.297688674498205
"9",9,"S07_2015","34.3_S07","S07",2015,"W",-0.207465554705928,-0.26222083490469,0.020280028860159,0.468606541527067,-0.536358190463922
"10",10,"S07_2016","34.3_S07","S07",2016,"W",0.345042168188407,0.295072645795357,0.443357415189486,0.164768354664368,-0.141090972892865
"11",11,"S08_2011","36.7_S08","S08",2011,"W",-0.180882520623716,-0.00283021590585381,1.1958858125418,0.427838982675397,0.0442593914366033
"12",12,"S08_2012","36.7_S08","S08",2012,"W",0.406301721883502,-0.26919250304648,1.22637505054314,0.529560775595949,0.075479859359186
"13",13,"S08_2013","36.7_S08","S08",2013,"W",-0.0335658175171992,-0.533573126041961,1.1847922359079,0.100760226093892,0.249225766386012
"14",14,"S08_2014","36.7_S08","S08",2014,"W",1.98935497824329,0.260473124356057,0.783415507069458,0.617016005750377,0.186641434933832
"15",15,"S10_2010","36.2_S10","S10",2010,"W",-0.868350000181609,-0.0306085209358273,1.04040919769254,0.422543745503144,0.123434671636314
"16",16,"S10_2011","36.2_S10","S10",2011,"W",-0.550060488375412,0.539057288679409,0.937851992453707,0.504319307695244,0.0202576110819623
"17",17,"S10_2012","36.2_S10","S10",2012,"W",0.639402159510029,0.177828358035092,0.282612242310662,0.298076761816507,0.133324586790376
"18",18,"S10_2013","36.2_S10","S10",2013,"W",0.150609328625,-0.235153313543845,0.886760619408391,0.0204864573449207,0.186576308557097
"19",19,"S10_2014","36.2_S10","S10",2014,"W",-0.150449659123492,0.483124885776576,0.973444985343957,0.599650250313658,0.0423007529666687
"20",20,"S10_2015","36.2_S10","S10",2015,"W",0.387871599383378,-0.167157480754283,0.487342666104423,0.258304956800906,0.19840878148115
"21",21,"S10_2016","36.2_S10","S10",2016,"W",1.5817637721625,-0.344475290419863,0.914805885797337,0.49008165365346,0.233521044406606
"22",22,"S11_2010","34.1_S11","S11",2010,"W",-0.129862946051632,-0.759056987724037,-0.283735173906563,-0.560897031067433,-0.123747043795387
"23",23,"S11_2011","34.1_S11","S11",2011,"W",0.0418253448604773,-1.03155761752141,-0.525297877103102,-0.0690828503361912,-0.514500444697956
"24",24,"S11_2013","34.1_S11","S11",2013,"W",-0.0501784851491405,-1.12714658788609,-0.43827190147327,-0.474358461135303,-0.123171874357465
"25",25,"S11_2015","34.1_S11","S11",2015,"W",-0.238301830393882,-1.05128821232893,-0.73737793468182,-0.247800616817576,-0.247432319925312
"26",26,"S11_2016","34.1_S11","S11",2016,"W",0.0355185390086111,-0.724672016916574,-0.707480664456464,-0.585993618852882,-0.544112413977708
"27",27,"S15_2010","43.4_S15","S15",2010,"W",0.510086359201377,-0.0272762171520444,0.256674629711791,-0.32689630607245,0.00690421134844245
"28",28,"S15_2012","43.4_S15","S15",2012,"W",-0.0796061347156502,-0.00270596268039872,0.634573780400062,-0.419440293541409,0.0322245201015486
"29",29,"S15_2014","43.4_S15","S15",2014,"W",-1.44656121792616,-0.442915041200377,0.2123534588874,0.0383748197269348,0.224278118097592
"30",30,"S15_2015","43.4_S15","S15",2015,"W",-0.845869256214311,0.051143682999365,0.409008414124713,-0.47684114839032,0.109438536541564
"31",31,"S15_2016","43.4_S15","S15",2016,"W",-0.304627091443998,0.00207107662002093,0.103520216871931,-0.0913627447006662,-0.138230892471928
"32",32,"S16_2010","41.8_S16","S16",2010,"W",0.0279740085132865,-0.236184731491736,0.288774426330188,0.048984799320805,-0.088080687114973
"33",33,"S16_2012","41.8_S16","S16",2012,"W",-0.22959321515048,0.442457896813627,0.21805450249625,0.122975651724899,-0.248758710538881
"34",34,"S16_2013","41.8_S16","S16",2013,"W",-0.281997942050506,-0.568327530662909,0.220655863313445,-0.755246505471891,-0.167657995242993
"35",35,"S16_2014","41.8_S16","S16",2014,"W",0.0917597604909228,-0.370998438759869,0.358000902348304,0.166481911831897,0.309988526396968
"36",36,"S16_2015","41.8_S16","S16",2015,"W",0.272484675414044,-0.268444178681098,0.124002966400024,-0.106947082104126,-0.255722581109559
"37",37,"S16_2016","41.8_S16","S16",2016,"W",0.448888116328047,-0.00505799576244051,0.491429869185173,-0.0182892895767915,-0.116161278903228
"38",38,"S17_2011","41.7_S17","S17",2011,"W",0.0487680351284359,0.434870225491509,0.783854330778162,-0.3460893642606,-0.209551924374361
"39",39,"S17_2014","41.7_S17","S17",2014,"W",0.493821411646266,0.339797849405324,0.389542227623674,-0.245166526419344,-0.532140897326022
"40",40,"S17_2015","41.7_S17","S17",2015,"W",-0.0628143457571972,0.0707801642952098,1.05426012241963,-0.527314737758205,-0.196496740270628
"41",41,"S17_2016","41.7_S17","S17",2016,"W",0.688598304328247,-0.470937841043854,0.52833891201798,-0.24378881444388,-0.12854661219001
"42",42,"S18_2010","39.7_S18","S18",2010,"W",0.48286430439931,-0.527376394832606,1.31902150471722,0.200423326040881,0.100596968318832
"43",43,"S18_2012","39.7_S18","S18",2012,"W",0.746476580744451,0.237614136722671,1.2984624616496,0.0143049927739969,0.133341446937272
"44",44,"S18_2013","39.7_S18","S18",2013,"W",-0.53760563104384,-0.197533121852883,1.31577402220052,-0.207084732256935,0.129412311020221
"45",45,"S18_2014","39.7_S18","S18",2014,"W",0.184861788603919,-0.33893238062817,1.50237275507705,0.0268112409599069,-0.00702651517982883
"46",46,"S18_2016","39.7_S18","S18",2016,"W",-0.00892425853783596,-0.144877151838028,1.52799161578164,-0.418647736221942,0.211593541148561
"47",47,"S29_2010","39.4_S29","S29",2010,"W",-0.440887362151269,-0.539529281790092,1.22158680550862,-0.100175831116515,0.067407811757518
"48",48,"S29_2013","39.4_S29","S29",2013,"W",-0.885186172616858,-0.873349083560578,1.16008627478473,0.583249161533779,0.36110416349096
"49",49,"S29_2014","39.4_S29","S29",2014,"W",0.455301075655508,-0.140742024984252,1.17093097033906,-0.140166326169937,0.101667825702259
"50",50,"S29_2015","39.4_S29","S29",2015,"W",2.99346503991375,0.579345086846778,1.20432307612162,-0.0127613135840836,0.389663899547684
"51",51,"S29_2016","39.4_S29","S29",2016,"W",-0.470286325826869,-0.0727198788191036,1.07465293965965,0.0695627253635517,-0.147437401630786
"52",52,"S32_2010","37.5_S32","S32",2010,"W",0.396003644019852,0.434186081112858,0.591215819357612,0.0866310959384153,0.305684660262703
"53",53,"S32_2012","37.5_S32","S32",2012,"W",0.173508592134118,0.154436315354615,0.580333337962221,0.0966090995487185,0.419024123185076
"54",54,"S32_2014","37.5_S32","S32",2014,"W",0.413568250237436,-0.493394680186118,1.30511221528855,-0.0304255328271381,0.306094512341265
"55",55,"S32_2015","37.5_S32","S32",2015,"W",0.390578576056531,-0.186537679231066,0.873305021320509,0.144743340371623,0.314999946327383
"56",56,"S32_2016","37.5_S32","S32",2016,"W",0.390168466989275,-0.0179435485151548,0.911852668395022,0.189835745434432,0.428927017183282
"57",57,"S36_2011","42.3_S36","S36",2011,"W",-0.640761026976414,-0.330829174446531,0.923290053997773,-0.218189588317739,-0.116602789883241
"58",58,"S36_2012","42.3_S36","S36",2012,"W",-0.353459062770552,0.381109945965729,0.698961267270589,-0.252159938129333,-0.113501381222186
"59",59,"S36_2014","42.3_S36","S36",2014,"W",-1.11461352761981,-0.419481604132301,0.853477432671576,0.250629676520908,-0.25251204567014
"60",60,"S36_2015","42.3_S36","S36",2015,"W",-1.07933299274932,0.353030277801877,0.736603734564323,-0.132053321457588,-0.195711942699616
"61",61,"S36_2016","42.3_S36","S36",2016,"W",-0.132665301013732,0.554467279687497,0.789540461229203,-0.0878447980363464,-0.270461679673043
